catalogNumber,phylum,class,order,suborder,superfamily,family,subfamily,genus,acceptedNameUsage,Occurrence,speciesA,speciesB,country,countryCode,locationRemarks,locality,coordinateUncertaintyInMeters,decimalLatitude,decimalLongitude,hostPlantFamily,hostPlantLatinName,hostPlantVernacularName,sourceCategory,ownerInstitutionCode,locationAccordingTo,dateIdentified,page,eventDate,eventDate,associatedReferences
NS0023,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Austria,AT,,Hagenbrunn,10000,48.3308,16.3975,unspecified species,unspecified species,NA,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,2008,,2008,2008,https://orcid.org/0000-0002-1641-5871
NS0024,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Austria,AT,,Langenzersdorf,10000,48.3106,16.3758,unspecified species,unspecified species,NA,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,2008,,2008,2008,https://orcid.org/0000-0002-1641-5871
NS0025,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,Wachau,Aggsbach-Dorf,10000,48.2942,15.4176,Rosaceae,Prunus armeniaca L.,Apricot,Literature,,"Maier C, Bachinger K, Mörtel J, Engel C, Czipin L & Riedle-Bauer M (2013) European stone fruit yellows: a mark, release and recapture experiment tracking the dispersal of its vector Cacopsylla pruni (Hemiptera: Psyllidae) in a model apricot orchard and epidemiological studies in Lower Austria. Journal of Phytopathology 161: 713-722",2013,715,2011,2011,https://onlinelibrary.wiley.com/doi/abs/10.1111/jph.12122
NS0026,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,Wachau,Aggsbach-Dorf,10000,48.2942,15.4176,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Maier C, Bachinger K, Mörtel J, Engel C, Czipin L & Riedle-Bauer M (2013) European stone fruit yellows: a mark, release and recapture experiment tracking the dispersal of its vector Cacopsylla pruni (Hemiptera: Psyllidae) in a model apricot orchard and epidemiological studies in Lower Austria. Journal of Phytopathology 161: 713-722",2013,715,2011,2011,https://onlinelibrary.wiley.com/doi/abs/10.1111/jph.12122
NS0027,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,Wachau,Aggsbach-Markt,10000,48.2939,15.4036,Rosaceae,Prunus armeniaca L.,Apricot,Literature,,"Maier C, Bachinger K, Mörtel J, Engel C, Czipin L & Riedle-Bauer M (2013) European stone fruit yellows: a mark, release and recapture experiment tracking the dispersal of its vector Cacopsylla pruni (Hemiptera: Psyllidae) in a model apricot orchard and epidemiological studies in Lower Austria. Journal of Phytopathology 161: 713-722",2013,715,2011,2011,https://doi.org/10.1111/jph.12122
NS0028,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,Wachau,Baumgarten an der March,10000,48.3763,15.5775,Rosaceae,Prunus armeniaca L.,Apricot,Literature,,"Maier C, Bachinger K, Mörtel J, Engel C, Czipin L & Riedle-Bauer M (2013) European stone fruit yellows: a mark, release and recapture experiment tracking the dispersal of its vector Cacopsylla pruni (Hemiptera: Psyllidae) in a model apricot orchard and epidemiological studies in Lower Austria. Journal of Phytopathology 161: 713-722",2013,715,2011,2011,https://onlinelibrary.wiley.com/doi/abs/10.1111/jph.12122
NS0029,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,Wachau,Krustetten,10000,48.3606,15.6643,Rosaceae,Prunus armeniaca L.,Apricot,Literature,,"Maier C, Bachinger K, Mörtel J, Engel C, Czipin L & Riedle-Bauer M (2013) European stone fruit yellows: a mark, release and recapture experiment tracking the dispersal of its vector Cacopsylla pruni (Hemiptera: Psyllidae) in a model apricot orchard and epidemiological studies in Lower Austria. Journal of Phytopathology 161: 713-722",2013,715,2011,2011,https://onlinelibrary.wiley.com/doi/abs/10.1111/jph.12122
NS0030,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,Wachau,Krustetten,10000,48.3606,15.6643,Rosaceae,Prunus domestica L.,European Plum,Literature,,"Maier C, Bachinger K, Mörtel J, Engel C, Czipin L & Riedle-Bauer M (2013) European stone fruit yellows: a mark, release and recapture experiment tracking the dispersal of its vector Cacopsylla pruni (Hemiptera: Psyllidae) in a model apricot orchard and epidemiological studies in Lower Austria. Journal of Phytopathology 161: 713-722",2013,715,2011,2011,https://onlinelibrary.wiley.com/doi/abs/10.1111/jph.12122
NS0031,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,Wachau,Rohrendorf,10000,48.4198,15.6584,Rosaceae,Prunus armeniaca L.,Apricot,Literature,,"Maier C, Bachinger K, Mörtel J, Engel C, Czipin L & Riedle-Bauer M (2013) European stone fruit yellows: a mark, release and recapture experiment tracking the dispersal of its vector Cacopsylla pruni (Hemiptera: Psyllidae) in a model apricot orchard and epidemiological studies in Lower Austria. Journal of Phytopathology 161: 713-722",2013,715,2011,2011,https://onlinelibrary.wiley.com/doi/abs/10.1111/jph.12122
NS0032,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,Wachau,Rohrendorf,10000,48.4198,15.6584,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Maier C, Bachinger K, Mörtel J, Engel C, Czipin L & Riedle-Bauer M (2013) European stone fruit yellows: a mark, release and recapture experiment tracking the dispersal of its vector Cacopsylla pruni (Hemiptera: Psyllidae) in a model apricot orchard and epidemiological studies in Lower Austria. Journal of Phytopathology 161: 713-722",2013,715,2011,2011,https://onlinelibrary.wiley.com/doi/abs/10.1111/jph.12122
