catalogNumber,phylum,class,order,suborder,superfamily,family,subfamily,genus,acceptedNameUsage,Occurrence,speciesA,speciesB,country,countryCode,locationRemarks,locality,coordinateUncertaintyInMeters,decimalLatitude,decimalLongitude,hostPlantFamily,hostPlantLatinName,hostPlantVernacularName,sourceCategory,ownerInstitutionCode,locationAccordingTo,dateIdentified,page,eventDate,eventDate,associatedReferences
NS0932,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Achern,10000,48.6266,8.0749,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0933,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Allershausen,10000,48.4312,11.5971,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0934,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Ansbach-Aich,10000,49.3106,10.7072,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0935,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Appenweier,10000,48.5488,7.9759,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0936,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Arnsberg-Altmuhltal,10000,48.926,11.3741,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0937,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Augustenberg,10000,49.0049,8.4935,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0938,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Bad Ems,10000,50.3381,7.7105,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0939,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Bad Gronenbach,10000,47.8748,10.2215,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0940,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Bad Schwalbach,10000,50.1417,8.0681,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0941,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Baden-Airpark,10000,48.7718,8.0908,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0942,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Berlin-Britz,10000,52.4518,13.437,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0943,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Berlin-K openick,10000,52.4383,13.6058,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0944,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,Near Merzig,Besseringen,10000,49.4609,6.6326,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0945,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Betzigau,10000,47.736,10.3814,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0946,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Bienwald,10000,49.0375,8.1733,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0947,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,Germany,DE,,Bockweiler,10000,49.1845,7.2916,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0948,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Bruch a. Ammersee,10000,47.9482,11.1004,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0949,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Bruchsal-Helmsheim,10000,49.0861,8.641,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0950,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Buchenegg,10000,47.528,10.0473,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0951,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Cölbe,10000,50.8506,8.781,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0952,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Dielheim-Balzfeld,10000,49.2779,8.7662,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0953,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Diez,10000,50.3706,8.0155,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0954,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Dossenheim,10000,49.4483,8.6733,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0955,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,Near Hagspiel,Dreilanderblick,10000,47.5135,9.9897,Rosaceae,Prunus cerasifera Ehrh.,Plum,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0956,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,Near Hagspiel,Dreilanderblick,10000,47.5135,9.9897,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0957,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,near Marbach,Erfurt,10000,50.9924,10.9868,Rosaceae,Prunus armeniaca L.,Apricot,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0958,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,near Marbach,Erfurt,10000,50.9848,11.0299,Rosaceae,Prunus armeniaca L.,Apricot,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0959,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Feuchtwangen,10000,49.1681,10.3298,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0960,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Frauenstein,10000,50.0655,8.1542,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0961,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Freinsheim,10000,49.5061,8.211,Rosaceae,Prunus domestica L.,European Plum,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0962,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Freisen,10000,49.5529,7.2422,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0963,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Geisingen,10000,47.923,8.649,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0964,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Gelsdorf,10000,50.5859,7.0368,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0965,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Gierstadt,10000,51.0445,10.8176,Rosaceae,Malus sp.,Apple,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0966,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Gierstadt,10000,51.0427,10.8278,Rosaceae,Prunus armeniaca L.,Apricot,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0967,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Gollenstein,10000,49.2446,7.2496,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0968,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Greding,10000,49.0455,11.3565,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0969,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Grossbeeren,10000,52.3594,13.3089,Rosaceae,Prunus spinosa L.,Blackthorn,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0970,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Grossfahner,10000,51.0533,10.8225,Rosaceae,Prunus domestica L.,European Plum,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
NS0971,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,Germany,DE,,Grossfahner,10000,51.0573,10.8236,Rosaceae,Prunus armeniaca L.,Apricot,Literature,,"Jarausch W, Jarausch B, Fritz M, Runne M, Etropolska A & Pfeilstetter E (2019) Epidemiology of European stone fruit yellows in Germany: the role of wild Prunus spinosa. European Journal of Plant Pathology 154: 463-476",2019,TabS1,2013-2017,2013/2017,https://doi.org/10.1007/s10658-019-01669-3
